id,coordinates
15426,"37.924041,-121.721634"
68424,"37.576158,-122.347186"
20101,"37.29316,-121.96651"
18121,"38.63817,-121.326375"
17668,"39.735355,-121.83438"
14043,"37.953752,-121.953734"
15005,"37.978372,-122.028553"
12406,"37.928072,-122.518115"
1007289,"37.3374977111816,-122.032409667969"
9266,"33.765006,-118.310126"
12201,"37.798223,-121.918061"
12490,"38.541249,-121.724967"
65667,"37.923207,-122.316211"
17876,"38.711253,-121.084114"
12466,"38.424015,-121.446151"
68462,"40.780464,-124.139031"
8870,"38.649072,-121.165433"
14005,"37.48992667689,-121.9276110972"
16900,"37.545014,-121.98885"
15004,"37.013737,-121.58927"
12833,"34.443213,-118.511436"
13095,"39.23899,-120.03595"
11331,"37.892812,-122.119418"
16177,"33.566350943783,-117.71335650191"
11267,"38.878253,-121.294324"
65899,"37.231307,-121.979812"
18193,"37.797042,-121.192121"
1005288,"37.603458404541,-122.394439697266"
9372,"37.128801,-121.636838"
11728,"37.113028117498,-121.639409877"
16651,"37.372393,-122.088318"
14169,"33.551234,-117.138815"
116445,"37.4022483825684,-122.11287689209"
18570,"38.321353,-122.301856"
16296,"38.657388,-121.524709"
12210,"38.10407,-122.571319"
10806,"37.801195,-122.215642"
